"Academy","#Athlete","% Athlete","#Gold","#Silver","#Bonze","% Success","#Score"
"SAGITTARIUS FIGHTING CLUB","3","0.0008476970895733258","0","0","0","0.0","0.0"
"ACTJJ INTERNATIONAL","12","0.003390788358293303","0","0","0","0.0","0.0"
"DAVID VIEIRA BJJ INTERNATIONAL","1","0.00028256569652444194","0","0","0","0.0","0.0"
"BLACKOUT ACADEMY","2","0.0005651313930488839","0","1","0","0.5","3539.0"
"ALLIANCE USA","2","0.0005651313930488839","0","0","0","0.0","0.0"
"PGN HIGASHIYAMATO","1","0.00028256569652444194","0","0","0","0.0","0.0"
"PRECISION JIU-JITSU","2","0.0005651313930488839","0","0","1","0.5","1769.5"
"AMAZONAS RICE BROS BJJ","1","0.00028256569652444194","0","0","0","0.0","0.0"
"ROY DEAN ACADEMY","1","0.00028256569652444194","0","0","1","1.0","3539.0"
"PORTUGAL GOLD TEAM","3","0.0008476970895733258","0","0","0","0.0","0.0"
"ALLIANCE MARCELO GARCIA","1","0.00028256569652444194","0","0","0","0.0","0.0"
"BJJ GLOBETROTTERS","21","0.00593387962701328","0","2","2","0.19047619047619047","1011.1428571428572"
"GRACIE HUMAITA","9","0.002543091268719977","2","1","1","0.4444444444444444","3539.0000000000005"
"GYMNASIUM","11","0.0031082226617688614","1","0","1","0.18181818181818182","1286.9090909090908"
"SBG IRELAND","11","0.0031082226617688614","1","1","1","0.2727272727272727","1930.3636363636363"
"DC MILLENIUM TEAM","4","0.0011302627860977678","0","0","2","0.5","1769.5"
"FIGHT CLUB CASSIS","1","0.00028256569652444194","1","0","0","1.0","10617.0"
"MUSICA E PASSIONI / ARS NOVA TEAM","1","0.00028256569652444194","0","0","0","0.0","0.0"
"ROGER GRACIE-VIE ACADEMY","1","0.00028256569652444194","0","0","0","0.0","0.0"
"DE SOUZA DOJO","5","0.0014128284826222096","0","0","1","0.2","707.8"
"MIRKOVIC - RUCKUS BJJ","5","0.0014128284826222096","0","0","0","0.0","0.0"
"SCHUBERT JIU-JITSU","1","0.00028256569652444194","0","1","0","1.0","7078.0"
"PARAESTRA KOIWA","2","0.0005651313930488839","1","0","0","0.5","5308.5"
"BARBOSA JJ E MMA","1","0.00028256569652444194","1","0","0","1.0","10617.0"
"ALLIANCE ATLANTA","1","0.00028256569652444194","0","0","0","0.0","0.0"
"BRIGADEIRO BJJ - UK","4","0.0011302627860977678","0","0","1","0.25","884.75"
"TEAM TRONDHEIM BJJ","3","0.0008476970895733258","0","0","0","0.0","0.0"
"MALICIA TEAM","13","0.003673354054817745","0","2","1","0.23076923076923078","1361.1538461538462"
"FERRARI TEAM ACADEMY","2","0.0005651313930488839","0","0","1","0.5","1769.5"
"ALIVE","1","0.00028256569652444194","0","0","0","0.0","0.0"
"PALM BEACH JIU-JITSU","1","0.00028256569652444194","0","0","0","0.0","0.0"
"CARLSON GRACIE TEAM","65","0.018366770274088725","7","4","14","0.38461538461538464","2341.1846153846154"
"ALLIANCE LOS ANGELES","3","0.0008476970895733258","0","1","0","0.3333333333333333","2359.3333333333335"
